Num_Frame,Respond_Time,Eyes detected
0,0.4703159332,1
1,0.3322598934,0
2,0.2447586060,0
3,0.2535464764,0
4,0.2935953140,0
5,0.3174028397,0
6,0.3066565990,0
7,0.2873773575,0
8,0.3027374744,0
9,0.3300483227,0
10,0.3614258766,1
11,0.3092978001,0
12,0.3582203388,1
13,0.3518996239,0
14,0.3530337811,1
15,0.3715898991,1
16,0.3691132069,0
17,0.3411469460,0
18,0.3426806927,1
19,0.3707604408,1
20,0.3514230251,0
21,0.3363454342,0
22,0.3391206264,0
23,0.3462772369,0
24,0.3481667042,0
25,0.3512260914,0
26,0.3430175781,0
27,0.3618512154,0
28,0.3777275085,0
29,0.1965429783,0
30,0.2272298336,0
31,0.3014438152,0
32,0.3201541901,0
33,0.2753031254,0
34,0.2957799435,0
35,0.2957625389,0
36,0.2948615551,0
37,0.3307616711,0
38,0.1795647144,0
39,0.1930038929,0
40,0.2002723217,0
41,0.2783114910,0
42,0.2662551403,0
43,0.2092611790,0
44,0.1779649258,0
45,0.2471861839,1
46,0.2831814289,0
47,0.3016428947,1
48,0.3704981804,1
49,0.3378040791,1
50,0.3366630077,1
51,0.3522324562,1
52,0.3376321793,0
53,0.3360114098,0
54,0.3387670517,0
55,0.3697154522,1
56,0.3421893120,1
57,0.3388898373,0
58,0.3369185925,0
59,0.3471779823,0
60,0.3414211273,1
61,0.3554213047,1
62,0.3274393082,0
63,0.3370296955,0
